Unieke code,Exp_day,Datum,Cosm,Coding,Treatment,Cos.chla.bl.PAM,Totaal Chl-A watercolumn,Cos.yield.bl.PAM,disPO4,disN,TP,DO,pH,light_k,light_4perc
43,16,12/07/2019,3,Belucht,Belucht,1.52,31.5,0,0.008,0.688,56.17466667,9.791428571,9.213571429,2.326724319,1.375324087
44,16,12/07/2019,4,Belucht,Belucht,2.62,35.09,0,0.013,1.254,65.67966667,9.923333333,9.308958333,2.242510579,1.426972087
45,16,12/07/2019,12,Belucht,Belucht,2.6,22.98,0.89,0.039,1.232,65.37233333,9.817708333,9.237916667,2.170755853,1.474140906
46,16,12/07/2019,18,Belucht,Belucht,1.54,14.15,0.94,0.029,1.936,84.029,9.168809524,9.128571429,2.481803906,1.289384706
47,16,12/07/2019,2,Controle,Controle,3,16.97,0.15,0.012,1.123,67.512,9.805,9.124375,2.451891525,1.305114834
48,16,12/07/2019,14,Controle,Controle,4.95,23.11,0.63,0.011,1.344,96.67766667,10.53272727,9.198636364,2.262716462,1.414229336
49,16,12/07/2019,16,Controle,Controle,0.55,3.65,0.29,0.021,2.444,63.10433333,8.103555556,8.896444444,2.048370189,1.562217619
50,16,12/07/2019,20,Controle,Controle,3.72,54.94,0.86,0.01,0.986,110.26,11.00102273,9.115454545,2.38227312,1.343254883
51,16,12/07/2019,1,Gebaggerd,Gebaggerd,1.67,24.65,0,0.123,2.454,42.78966667,9.872222222,9.080396825,1.930860982,1.657291763
52,16,12/07/2019,7,Gebaggerd,Gebaggerd,2.13,12.67,0.42,0.033,2.153,47.44966667,9.130357143,8.930714286,1.97450092,1.620662704
53,16,12/07/2019,11,Gebaggerd,Gebaggerd,5.75,40.2,0.93,0.007,1.287,101.757,11.39898148,9.324259259,2.084522441,1.535123795
54,16,12/07/2019,17,Gebaggerd,Gebaggerd,0,2.84,,0.036,1.63,31.45266667,3.991666667,8.67875,1.483576,2.156951
55,16,12/07/2019,control,0,Gracht,5.39,82.35, ,0.005,2.016,102.9216667,12.46313725,9.152941176,2.229347632,1.435397492
56,16,12/07/2019,5,IJzerkalkslib,IJzerkalkslib,2.05,20.36,0.52,0.01,1.375,81.09333333,9.353333333,9.086666667,1.771931304,1.805939087
57,16,12/07/2019,8,IJzerkalkslib,IJzerkalkslib,0.84,3.54,0.24,0.016,1.428,95.016,8.781944444,8.959444444,2.171329235,1.47375163
58,16,12/07/2019,10,IJzerkalkslib,IJzerkalkslib,3.95,35.48,0.95,0.013,1.128,73.013,10.415,9.156,2.089906883,1.531168697
59,16,12/07/2019,15,IJzerkalkslib,IJzerkalkslib,1.24,8.68,0.34,0.007,2.672,55.007,9.733186275,9.138823529,2.285016984,1.400427228
60,16,12/07/2019,6,Phoslock,Phoslock,2.33,10.37,0.09,0.014,1.326,46.84733333,9.276666667,8.966666667,2.30686505,1.387163935
61,16,12/07/2019,9,Phoslock,Phoslock,0.62,3.9,0,0.02,1.428,34.10333333,8.27,8.907647059,1.751538849,1.826964901
62,16,12/07/2019,13,Phoslock,Phoslock,7.58,38.75,0.9,0.007,1.129,81.59033333,10.995,9.384285714,2.086979517,1.533316438
63,16,12/07/2019,19,Phoslock,Phoslock,0.18,1.76,0.18,0.033,2.748,117.3663333,8.506428571,8.92202381,2.178130746,1.469149639
64,30,24/07/2019,3,Belucht,Belucht,2.03,15.19,0.58,0.146,3.577,65.646,9.471176471,9.166764706,2.340083842,1.367472371
65,30,24/07/2019,4,Belucht,Belucht,1.29,9.8,0.55,0.078,2.782,26.91133333,9.326071429,9.348571429,1.762597747,1.815502151
66,30,24/07/2019,12,Belucht,Belucht,2.55,15.05,0.92,0.029,1.738,50.86233333,9.307,9.365,1.809083914,1.768851061
67,30,24/07/2019,18,Belucht,Belucht,0.81,6.63,0.83,0.037,1.059,38.787,8.81984127,9.225079365,2.585367014,1.237735293
68,30,24/07/2019,2,Controle,Controle,1.29,10.23,0.64,0.256,3.133,115.1726667,8.9525,9.075833333,1.878871512,1.703149991
69,30,24/07/2019,14,Controle,Controle,0.72,6.5,0.78,0.06,3.362,52.31,5.559090909,8.760454545,1.880511397,1.701664773
